label,days,date,total,S208_M1,S2010_M30_FSP,other_total
S85_BASELINE+S2010_M30_FSPx11.63,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.62,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.62,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.62,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.62,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.61,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.61,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.61,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.61,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.6,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.6,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.6,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.6,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.59,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.59,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.59,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.59,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.58,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.58,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.58,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.58,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.57,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.57,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.57,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.57,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.56,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.56,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.56,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.56,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.55,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.55,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.55,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.55,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
S85_BASELINE+S2010_M30_FSPx11.54,90,2026-05-07,-999.8417,-382.2876,0.0,-617.5541
S85_BASELINE+S2010_M30_FSPx11.54,120,2026-03-09,-984.0877,0.0,0.0,-984.0877
S85_BASELINE+S2010_M30_FSPx11.54,150,2025-12-18,-998.7615,0.0,0.0,-998.7615
S85_BASELINE+S2010_M30_FSPx11.54,180,2025-10-14,-999.9079,0.0,0.0,-999.9079
